CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
59491,27.62,28.89,82.7,50.65,21.14,11.688922316138,11.0680153658055,28.0
59495,26.35,28.28,84.73,31.96,20.58,12.4413112159055,11.1559849782151,23.0
59504,20.22,24.01,95.29,30.68,18.12,12.0169509227882,11.0691125123674,20.0
59507,15.18,20.16,57.98,36.16,15.79,11.2795081472844,11.2896993148961,18.0
59508,9.55,19.75,74.31,27.17,14.57,11.275770125825,11.8566632194456,7.0
59509,14.8,23.35,95.39,33.67,17.66,12.474669430941,11.2980572676998,15.0
59512,31.1,32.46,44.86,61.24,24.39,10.6033197189437,10.54734199623,42.0
59514,17.08,17.5,83.82,28.86,16.74,12.34801875657,11.4709444510968,17.0
59524,8.45,16.92,93.0,21.71,13.52,11.7670326458775,11.6054605006653,7.0
59525,26.6,29.19,84.65,41.37,17.22,12.0222855549956,10.9966890288345,26.0
59526,17.24,24.0,71.36,40.14,17.15,11.58792007529,11.4531745839081,18.0
59527,10.76,16.2,54.38,40.37,13.48,11.1632688492141,11.6994415200728,10.0
59544,14.4,17.13,64.22,40.5,16.7,12.1096831834944,11.6119425564736,16.0
59550,10.56,19.64,93.72,26.68,15.23,11.8929636863931,11.3823086838005,9.0
59553,7.77,15.4,91.61,17.73,15.09,11.8494675345454,11.8889603781627,5.0
59557,11.92,14.47,87.02,31.75,17.64,12.4288302123464,11.6210223396528,9.0
59560,13.85,22.56,65.91,36.47,15.76,11.0838793308964,11.3016815713463,14.0
59564,20.79,25.15,80.46,45.01,19.86,11.658707310577,10.9953343542853,23.0
59566,8.26,18.89,81.66,16.16,29.62,12.1507100338789,11.712273041601,7.0
59569,21.63,27.15,78.33,44.74,19.03,12.0046918655666,10.9381509448815,23.0
59571,23.44,25.84,87.8,36.58,18.32,11.8754446380203,10.4313322146825,24.0
59574,22.79,26.28,86.85,46.31,19.74,11.9799828781851,10.6359600034692,23.0
59580,11.85,26.7,88.84,27.32,16.07,12.4523789682481,11.0763956612609,10.0
59581,9.45,22.09,92.56,24.82,14.94,12.1969979725177,11.2996751896744,7.0
59585,9.5,14.68,77.9,21.74,13.95,11.5899196608376,11.7943285676271,8.0
59586,7.03,15.11,84.25,21.62,13.87,11.7019931628351,11.8104287649502,6.0
59588,10.96,14.32,84.29,25.39,16.79,13.6319739452106,11.8583741734047,10.0
59589,13.87,17.93,92.75,33.35,16.88,12.4981780774018,11.8546323568147,14.0
59592,10.76,21.76,95.05,16.07,16.37,12.0255870676681,12.0440523275244,7.0
59598,7.71,14.89,95.89,21.77,14.0,11.6662810970292,12.1262782028558,7.0
59599,22.0,24.76,55.82,47.84,18.11,10.8544814534515,11.0057862316594,27.0
59601,21.69,32.35,84.85,36.46,18.57,10.65156912829,11.7215441741857,21.0
59603,20.59,26.3,80.8,37.85,20.52,12.1355438184068,11.0444848823008,18.0
59606,21.51,17.97,42.37,57.57,23.24,11.1419657213927,11.2064531243723,24.0
59616,21.53,29.96,92.15,40.6,21.19,11.0490247432219,10.8108790948583,25.0
59624,23.52,34.34,97.23,30.51,15.65,11.2294209496659,10.8267738505055,22.0
59630,14.36,23.96,90.1,21.11,14.77,11.6802203136415,11.5569174417094,10.0
59631,23.22,31.44,94.54,25.98,15.32,11.9863530329109,10.6760484849849,18.0
59632,17.72,21.54,98.14,40.14,17.4,12.0291266027519,11.2722357670867,19.0
59636,8.91,19.88,70.12,31.69,14.06,11.4256122937218,11.7352159725048,7.0
59646,11.12,17.62,60.47,35.77,14.43,11.4937617179171,11.8733537675733,9.0
59647,17.61,32.67,87.14,40.02,19.39,12.4897596515954,10.5054681732497,21.0
59648,15.63,17.87,52.18,43.07,16.13,11.2076606732761,11.0382264200702,19.0
